Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
valor;knapsacksa.cpp;56;2.7587168216705322;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;5.652434349060059;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;4.051481485366821;0-9;LSB bit-flip;1
val2;knapsacksa.cpp;15;8.761192560195923;0-9;LSB bit-flip;1
peso;knapsacksa.cpp;56;2.1685099601745605;0-9;LSB bit-flip;1
best;knapsacksa.cpp;81;1.6027379035949707;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;5.017374515533447;0-9;LSB bit-flip;1
wt2;knapsacksa.cpp;17;6.202360153198242;0-9;LSB bit-flip;1
i;knapsacksa.cpp;61;3.319422483444214;0-9;LSB bit-flip;1
wt2;knapsacksa.cpp;17;7.04073166847229;0-9;LSB bit-flip;1
wt2;knapsacksa.cpp;17;4.987689018249512;0-9;LSB bit-flip;1
val;knapsacksa.cpp;14;3.148099899291992;0-9;LSB bit-flip;1
best2;knapsacksa.cpp;82;3.035395622253418;0-9;LSB bit-flip;1
i;knapsacksa.cpp;57;1.7320740222930908;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;4.629120111465454;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;4.402113676071167;0-9;LSB bit-flip;1
peso;knapsacksa.cpp;56;2.7367875576019287;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;3.2162485122680664;0-9;LSB bit-flip;1
val;knapsacksa.cpp;14;3.6177773475646973;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;2.337864875793457;0-9;LSB bit-flip;1
val2;knapsacksa.cpp;15;1.9508390426635742;0-9;LSB bit-flip;1
temp;knapsacksa.cpp;83;4.934122085571289;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;2.3589589595794678;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;2.8872249126434326;0-9;LSB bit-flip;1
wt2;knapsacksa.cpp;17;4.85115647315979;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;6.910327434539795;0-9;LSB bit-flip;1
wt2;knapsacksa.cpp;17;4.861941814422607;0-9;LSB bit-flip;1
temp;knapsacksa.cpp;83;1.4282195568084717;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;2.4200491905212402;0-9;LSB bit-flip;1
peso;knapsacksa.cpp;56;1.9078986644744873;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;2.41500186920166;0-9;LSB bit-flip;1
wt;knapsacksa.cpp;16;2.4505255222320557;0-9;LSB bit-flip;1
val;knapsacksa.cpp;14;2.2654261589050293;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;2.4872612953186035;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;2.0371930599212646;0-9;LSB bit-flip;1
peso2;knapsacksa.cpp;56;2.7260138988494873;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;3.8864073753356934;0-9;LSB bit-flip;1
n2;knapsacksa.cpp;13;4.564357280731201;0-9;LSB bit-flip;1
peso;knapsacksa.cpp;56;4.744706630706787;0-9;LSB bit-flip;1
temp;knapsacksa.cpp;83;2.1767258644104004;0-9;LSB bit-flip;1
wt;knapsacksa.cpp;16;1.71563720703125;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;3.3310117721557617;0-9;LSB bit-flip;1
best2;knapsacksa.cpp;82;6.592669248580933;0-9;LSB bit-flip;1
W2;knapsacksa.cpp;13;2.439640998840332;0-9;LSB bit-flip;1
W;knapsacksa.cpp;13;4.428526163101196;0-9;LSB bit-flip;1
solution;knapsacksa.cpp;51;4.314286708831787;0-9;LSB bit-flip;1
